id1,id2,FT-cbow,FT-SG,w2v-SG,w2v-cbow
ReactEmptyComponent,renderToStaticMarkup,0.6,0.65
VERSION,geoJson,0.16,0.32
s1,s2,0.97,0.96
precondition,prereq,0.57,0.75
setAttributeNode,createAttribute,0.69,0.74
Connection,Client,0.74,0.74
dom__FixedSizeListIterator,_dom_pos,0.46,0.64
v2,v3,0.85,0.9
onAdd,onRemove,0.81,0.86
destroy,clear,0.55,0.69
panelTitle,panelTitle1,0.92,0.96
__dependency1__,__dependency2__,1.0,0.98
minVal,minValue,0.84,0.89
ace,__ace_shadowed__,0.44,0.66
m1,m2,0.94,0.93
latitude,longitude,0.91,0.94
cols,rects,0.41,0.66
resetSize,popupFeatures,0.13,0.49
trim,separatedList,0.3,0.36
parentWindow,scanner,0.14,0.34
targetPopup,popupResizable,0.51,0.63
popupToolbar,popupDependent,0.63,0.75
split,shim,0.21,0.45
generalTab,advancedTab,0.63,0.76
ELEMENT_NODE,TEXT_NODE,0.82,0.79
rlocalProtocol,rprotocol,0.92,0.78
listeners,cbs,0.55,0.62
user,person,0.55,0.73
onPlay,onPause,0.83,0.83
re,destruct,0.12,0.45
translateX,translateY,0.98,0.97
click,dblclick,0.75,0.75
columns,requests,0.24,0.49
oMatchesSelector,msMatchesSelector,0.92,0.96
a11,b12,0.76,0.87
pink,brown,0.38,0.74
floor,abs,0.65,0.82
math,miny,0.47,0.63
toggle,isLength,0.19,0.42
found,rawFunc,0.06,0.42
material,light,0.51,0.65
controller,mutator,0.23,0.31
files,locations,0.25,0.46
files,problems,0.29,0.56
frames,markers,0.11,0.35
objects,shortcuts,0.2,0.38
a01,b11,0.8,0.9
defHeaders,defHeaderName,0.82,0.9
right,bottom,0.69,0.84
count,total,0.57,0.69
click,mouseup,0.51,0.67
inputs,resources,0.29,0.45
advice,alternative,0.26,0.35
abs,sqrt,0.61,0.81
cells,segments,0.3,0.5
place,written,0.15,0.41
names,sources,0.37,0.54
minx,ymax,0.58,0.79
segments,annotations,0.27,0.39
ELEMENT_ARRAY_BUFFER,bufferData,0.51,0.75
body,currants,0.26,0.47
cfg,conf,0.43,0.66
userA,userB,0.95,0.94
keyup,deferId,0.19,0.46
columns,datasets,0.48,0.53
getBorderWidth,getPadding,0.79,0.76
obj1,obj2,0.97,0.96
limit,exponent,0.19,0.5
camera,texture,0.23,0.56
selected,active,0.37,0.54
rows,columns,0.72,0.78
body,agg,0.17,0.55
ui,secret,0.05,0.5
dataAndEvents,deepDataAndEvents,0.91,0.97
oDomRef,structuralType,0.14,0.34
i,targ,0.22,0.68
allocate,contextmenu,0.02,0.27
objects,records,0.5,0.58
idx,indx,0.67,0.7
idx,ridx,0.55,0.77
ranges,codes,0.49,0.55
topLevelTarget,topLevelTargetID,0.91,0.94
store,storage,0.72,0.71
indices,positions,0.29,0.59
files,filenames,0.8,0.76
maxLine,maxLineLength,0.82,0.88
alignCenter,alignMiddle,0.87,0.9
targetFrame,targetFrameName,0.91,0.93
angle,radians,0.63,0.78
events,rchecked,0.19,0.31
img,thumb,0.45,0.6
PLACEHOLDER,vertexFormat,0.23,0.27
angle,theta,0.52,0.74
foo,bar,0.71,0.83
$behaviour,foldingRules,0.51,0.64
foo,abc,0.44,0.78
cols,domains,0.19,0.47
CallExpression,BlockStatement,0.62,0.67
raw,movie,0.05,0.39
err,er,0.74,0.8
res,resp,0.68,0.81
utils,util,0.71,0.73
remove,focus,0.27,0.6
items,records,0.47,0.58
bindBuffer,ELEMENT_ARRAY_BUFFER,0.49,0.79
gray,silver,0.4,0.77
get,facets,0.09,0.48
files,images,0.47,0.6
nodeLinkFn,childLinkFn,0.84,0.89
b01,a03,0.82,0.92
styleSelectLabel,tag_h4,0.15,0.38
a24,a30,0.87,0.95
lightgreen,lightgrey,0.94,0.97
id,sessionid,0.41,0.55
expect,assume,0.46,0.65
container,submenu,0.28,0.49
images,streams,0.27,0.46
btnModify,btnSetValue,0.6,0.75
setMinutes,setSeconds,0.77,0.86
styleSelectLabel,cssClassInputLabel,0.64,0.74
item,record,0.29,0.57
destroy,dispose,0.48,0.63
on,immediate,0.1,0.51
equals,same,0.58,0.68
wrapper,scroller,0.39,0.52
builtinConstants,buildinConstants,0.91,0.92
i,targ,0.22,0.68
canvas,video,0.48,0.57
idx,indx,0.67,0.7
idx,ridx,0.55,0.77
right,bottom,0.69,0.84
count,total,0.57,0.69
click,mousedown,0.57,0.69
change,keyup,0.55,0.65
change,submit,0.59,0.67
files,players,0.26,0.51
focus,resize,0.3,0.62
reset,refresh,0.45,0.63
pushStackLiteral,oldSelection,0.13,0.27
onAdd,onRemove,0.81,0.86
black,colours,0.42,0.74
